user_id,actual,model_preds
1,"[  821867   834484   856942   865456   889248   907957   914190   943316
   951954   954486   958046   962568   969231   971585   979707   986947
   990656   995242  1004906  1005186  1042083  1050310  1060819  1062002
  1064441  1069733  1074612  1082185  1131115  1132771  6534544 13876341
 15971874 17178953   883616   917704   931860   961554  1002032  1031190
  8090541  8293439  9297615  9527329 15926712  1049998   861272   869465
   877373   908213   933913   940947   945809   959316   978974  1031697
  1041796  1048918  1081189  1101422  1115576  1122428  1132231  1132814
  5577022  8091601  9296986  9677939 10356149 13417048 15741823 15830875]","[1050310, 1075074, 871570, 856942, 1082212, 878285, 5577022, 1025641, 1046816, 1043064]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
7,"[  840386   889774   898068   909714   929067   953476   954543   976998
   993838   994928  1003188  1056418  1064054  1064441  1073224  1082185
  1106523  1108844  1110779  1122085  1122358  1126899  1135694  5571310
  5590695  6034857 10121622 10255525 10285022 10285186 12731506 14111027
 14111539 15452140 16809431   945909   966058   986912  1018769  1117035
   850841  1085476 12696020   822346   839747   847270   848268   860776
   861819   913201   938700   939900   961554  1001525  1004122  1055646
  1058997  1077703  1089990  5584202  5591154  6424447 15629769   823176
   855557   882830  1022003  5592610  9527455 15596285   822049   834484
   836281   843951   857503   861246   866211   875118   888835   889536
   896369   896709   916050   965705   994994  1006414  1010424  1013321
  1039360  1055504  1072483  1074172  5568378  5592931  6396566  6979808
  9420337 10285119 10456186 12386181 12647859 13039252 13112721 13417587
 13842160 13986923 14111294 15596516 15716073   898867   918771  1038184
  5589978 12487505]","[1126899, 5591154, 1052046, 5592610, 1003188, 1031833, 1072483, 1134294, 836281, 1127232]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
8,"[  835098   872137   910439   924610   992977  1041259  5569230  5569471
  9337369  9337581 13071586 15629920   819255   823356   837579   839243
   840361   848319   858001   862070   868984   892618   905690   911812
   913425   914190   919180   920421   937573   939275   945805   946484
   953476   966103   969932  1012050  1012816  1043230  1048237  1070080
  1085095  1115801  1116578  1116671  1135096  5978656  7168968  8014645
  8181377  9297371 13115915 15926885 15926886 15971691   884897   893501
  1008074  1051211  6772795  9396767 16769882   826952   854405   859075
   863449   871252   883601   894406   895039   901062   909269   913808
   914868   919963   923746   930294   950977   996458  1004906  1005186
  1006027  1019751  1030836  1039589  1047619  1062966  1068957  1074333
  1076769  1077410  1082185  1086196  1135802  5578494  5584645  5585636
  5588238  6772634  7025250  7147176  8205218  9296856  9445671 12172239
 15596706 15717281 16223130   845208   862139   953561  1008650  1029743
  1119761  1132864  5584847 12131942 12172071 12330794 15452231 15452354
 15452644 15452833   822241   824555   825749   826239   835576   904023
   951674   956813  1085803  1110843  5564982  5567605  5582789  5585639
  5585735  5588666  5588942  5590287  5995985  7466806  8011282  8011285
  9420140  9488064  9803810 13115699 13115804 13115895 13115897 13213442
 13512717]","[1068719, 952317, 1074754, 868075, 840361, 830156, 940631, 962568, 860776, 961554]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
13,"[ 6534178  1104146   829197   840361   862070   884897   886317   920308
   950439   981521   985178  1029743  1032549  1038985  1054688  1057315
  1068708  1082185  1100973  6551782  7409999  9859052 12263815 15827180
 16223404 17104578 17104769 17104993 17106016   850645   861174   923005
  1117539  1120256  1129312 12128605 12695858 13133916   902172   923746
   941734  1028953  1070105  1077600  1078385  1118987  1127624  6533184
  9368201 13133815  6773223   857736   890407   951590   953345   959821
  1014238  1021704  1041796  1043751  1048237  1051781  1069621  1069635
  1071939  1089954  1094371  1103741  1132280  1132771  5978648 13512204
 15927528   838186  1018954   838602   878996   890344   898466   904813
   951197  1024306  1115098  6773215 13130916  1131348   819614   826249
   915041   961021   995242 13776705 14025593   841549   856060   880417
   889107   977278   980727   992933  1034886  5978656 12301825 12428444
 13115579 15741662 16769806]","[1068719, 859075, 1112598, 951590, 914190, 5568729, 6554400, 1041796, 1003178, 12263180]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
16,[ 1062973  1082185 13007710],"[], Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,,                            15926886]"
17,"[  892503   896085   913806   923559   928036   937489   944486   948670
   972229   978906   995242  1009344  1022827  1039287  1053016  1068719
  1079541  1109352  5569471  6533608  6534077  9487497  9553031 13877192
   832678   833351   842416   857849   923746  1082185  1117128  7409941
 17974316 17974317]","[1022827, 849843, 6533362, 835243, 896085, 1099164, 833351, 944486, 1044078, 899624]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
18,"[  831628   907877   914697   995242  1118878  1128477  7441668  9677886
   923746 15716363   918039  1024629  1068943  1097532  1102248  1104343
  7466845 15596892   822945   839243   859075   880228   919704   948420
   951197   981760  1010766  1038743  1041259  1076239  1082185  1084349
  5569379  8160430 13672062 15452803  6533889   878715   925077 15626756
   853235   854852  1105616   834022   847270   886291   894494   897098
   951412  1029313  1116821 13877192  1017311  1052912  1084670 13945181
 15716195   819978   840361   909750  1053628  5575861  9364200]","[9677886, 948420, 835278, 870929, 831937, 909750, 961620, 938118, 914577, 916122]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
19,"[  830960   831628   835300   840102   844179   847677   859075   860776
   882288   900145   905217   916122   941741   944466   948898   962229
   966063   985427   988206   989069   991358   994928   999104   999270
  1026118  1028995  1029743  1029915  1031083  1033347  1037863  1048483
  1055646  1068292  1077276  1077490  1082185  1084211  1115896  1118787
  1137885  5568378  6533236  6979089 10285137 15596338  1096317   950998
   859592  1022003   826249 12325184   844165   965766  1043590  6533765
  6534178   943076  1042380  1055072  1068719  1070015 13871141   834833
   849701   866937   870547   882830   883404   913089   913785   940700
   961458  1021133  1043751  1054262  1062152  1076875  1083493  1106523
  1128698 13189726 15596379   877827   909894   963517  1074271  1074333
  1081262  5564931  6533608   858373   822241   833556   838794   847790
   853643   861701   863447   870780   878880   883932   885463   914513
   918335   923746   926233   926318   939900   951526   951746   972742
   977886   989075   993441  1001827  1004950  1043128  1094955  1099905
  1104546  1106601  1118481  1137387  5592931  7441191  8090610 12524174
 12946027 15926927 10355883   879755   947147  1033615  1127025   834117
   835243   853522   855138   859010   859259   866211   871061   874972
   880377   921504   927110   964254   976335  1004906  1041616  1043301
  1044078  1081177  1096667  1109948  1130458  1131438  6391163  8065410
   827180   837304   839162   850673   905537   951561   969866  1008547
  1013321  1029624  1043766  1058779  1068705  1110292  1127758  5591154
  9527542 12811532 13003092 13008334 16223193   905913  1033142]","[883404, 826249, 1074524, 865456, 859075, 994928, 871756, 8090537, 844165, 1070015]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
20,"[  819112   944419   945611   971684  1025522  1058997  5592931  1002850
  1075368  1126899  8090536   821556   823758   865330   866292   878637
   878732   905217   995645  1010424  1116242  6772859 10149303 10457177
  5979156 15512011 15716530   883404  1086740  1103823  1013807 15595834
  1053460  6533765  6534178  1117034  7168739   849202   878888  6602478
 13512876  5563752  5564471  6443283   913785   941532   995965  1016709
   875502   901772   931015]","[840361, 1058997, 1126899, 8090536, 1123106, 945611, 993441, 1040842, 910109, 995628]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
22,"[ 6534178   826249   849470   858743   916758   935968  1010578  1075175
  1119830  1120362  5568489  5569845  5978656 13158992 13945244 14050714
   840173   860362   884120  1075505  1137540  7441679 16769972   825749
   840102   841220   858439   869874   880150   897270   904360   906763
   912457   912704   932182   944836   947220   956373   962161   977033
   995965  1018339  1059473  1070820  1082185  1117358  1130177  6039994
  8144652 13115981 15506577 15511891 15925349   898494   927191   976199
  1009567  1023473  1025641  1073775  1104604  1120511  8119297 12756877
   827656   903674   930602   943286   991874   995645  1001702  1011259
  1047619  1051110  1057124  1071733  1075074  1087660  1092160  5569374
  6464020  7410013 13876403]","[840361, 1104349, 991874, 1070820, 1075074, 856345, 995645, 995816, 916050, 990656]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
